Model,Language,Total,Problem Type,Pass@1,Pass@3,Pass@10,Pair Pass@1,Pair Pass@3,Pair Pass@10
StarCoder,Java,original,161,0.6099378881987577,0.8691511387163562,0.9386165389328668,0.0,0.0,0.0
StarCoder,Java,P13,161,0.5822981366459627,0.8448512585812359,0.9468807205716614,0.6099378881987577,0.8691511387163562,0.9386165389328668
StarCoder,Java,all,161,0.4916149068322982,0.683949002942138,0.7436230144871954,0.6099378881987577,0.8691511387163562,0.9386165389328668
StarCoder,Java,P8,67,0.3522388059701492,0.5081434930610107,0.5617585824369244,0.555223880597015,0.8468054464519508,0.9582209759188641
StarCoder,Java,P6,6,0.0,0.0,0.0,0.4666666666666666,0.7252923976608187,0.8306144320076209
StarCoder,Java,P1,22,0.6204545454545455,0.8533891547049443,0.9410650213844697,0.6431818181818181,0.9005582137161082,0.9724688483483868
StarCoder,Java,P15,1,0.050000000000000044,0.15000000000000002,0.5,0.050000000000000044,0.15000000000000002,0.5
StarCoder,Java,P16,1,0.5499999999999998,0.9263157894736842,1.0,0.7,0.9824561403508772,1.0
