Model,Language,Total,Problem Type,Pass@1,Pass@3,Pass@10,Pair Pass@1,Pair Pass@3,Pair Pass@10
StarCoder,Java,original,161,0.7549689440993788,0.8668682576005231,0.9187375082852267,0.0,0.0,0.0
StarCoder,Java,P13,161,0.7167701863354038,0.8514383785550834,0.9018503034184822,0.7549689440993789,0.8668682576005231,0.9187375082852267
StarCoder,Java,all,161,0.5736024844720496,0.6748556173041299,0.7161638670926597,0.7549689440993789,0.8668682576005231,0.9187375082852267
StarCoder,Java,P8,67,0.43208955223880596,0.48774548311076193,0.4999991113733547,0.7417910447761195,0.8776774024613774,0.9289309530633869
StarCoder,Java,P6,6,0.0,0.0,0.0,0.6,0.737280701754386,0.8771929824561404
StarCoder,Java,P1,22,0.8795454545454544,0.9492025518341307,0.9545452085207221,0.865909090909091,0.950956937799043,0.9545454545454546
StarCoder,Java,P15,1,0.0,0.0,0.0,0.0,0.0,0.0
StarCoder,Java,P16,1,0.7999999999999999,0.9964912280701754,1.0,0.8999999999999999,1.0,1.0
