Model,Language,Total,Problem Type,Pass@1,Pass@3,Pass@10,Pair Pass@1,Pair Pass@3,Pair Pass@10
GPT-3.5,Py,original,164,0.2490853658536586,0.4023053059477963,0.5491748774520805,0.0,0.0,0.0
GPT-3.5,Py,P8,147,0.29455782312925166,0.4590762620837809,0.6296018591463086,0.2751700680272109,0.4409834109082229,0.5895914493879996
GPT-3.5,Py,P1,27,0.23518518518518516,0.4495776478232619,0.6379158337362673,0.21851851851851853,0.42228719948018195,0.6390033541736329
GPT-3.5,Py,all,164,0.27530487804878045,0.45449293966623877,0.6400476317083204,0.2490853658536586,0.4023053059477963,0.5491748774520805
GPT-3.5,Py,P6,7,0.0,0.0,0.0,0.39285714285714285,0.499874686716792,0.5652366209641752
GPT-3.5,Py,P15,1,0.0,0.0,0.0,0.0,0.0,0.0
GPT-3.5,Py,P4,1,0.050000000000000044,0.15000000000000002,0.5,0.75,0.9912280701754386,1.0
GPT-3.5,Py,P13,164,0.27408536585365856,0.45787869062901154,0.6390936378052213,0.2490853658536586,0.40230530594779634,0.5491748774520805
